letra,clanae,sector,dpe,dígitos,sector
D,,,32100,5,"Fabricación de tubos, válvulas  y otros  componentes electrónicos"
D,,,322,3,Fabricación de transmisores de radio y televisión y de aparatos para telefonía y telegrafía con hilos
D,,,3220,4,Fabricación de transmisores de radio y televisión y de aparatos para telefonía y telegrafía con hilos
D,,,32200,5,Fabricación de transmisores de radio y televisión y de aparatos para telefonía y telegrafía con hilos (equipos de comunicación)
D,,,323,3,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video, y productos conexos"
D,,,3230,4,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video, y productos conexos"
D,,,32300,5,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video, y productos conexos"
D,,,33,2,"Fabricación De Instrumentos Médicos, Ópticos Y De Precisión; Fabricación De Relojes"
D,,,331,3,"Fabricación de aparatos e instrumentos médicos y de aparatos para medir, verificar, ensayar, navegar y otros fines, excepto instrumentos de óptica"
D,,,3311,4,Fabricación de equipo medico y quirúrgico y de aparatos ortopédicos
D,,,33110,5,Fabricación de equipo medico y quirúrgico y de aparatos ortopédicos
D,,,3312,4,"Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar, control de procesos industriales y otros fines"
D,,,33120,5,"Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar, control de procesos industriales y otros fines"
D,,,332,3,Fabricación de instrumentos de óptica y equipo fotográfico
D,,,3320,4,Fabricación de instrumentos de óptica y equipo fotográfico
D,,,33200,5,Fabricación de instrumentos de óptica y equipo fotográfico
D,,,34,2,"Fabricación De Vehículos Automotores, Remolques Y Semiremolques"
D,,,341,3,Fabricación de vehículos automotores
D,,,3410,4,Fabricación de vehículos automotores
D,,,34100,5,Fabricación de vehículos automotores
D,,,342,3,Fabricación de carrocerías para vehículos automotores; Fabricación de remolques y semiremolques
D,,,3420,4,Fabricación de carrocerías para vehículos automotores; Fabricación de remolques y semiremolques
D,,,34200,5,Fabricación de carrocerías para vehículos automotores; Fabricación de remolques y semiremolques
D,,,343,3,Fabricación de partes; piezas y accesorios para vehículos automotores y sus motores
D,,,3430,4,Fabricación de partes; piezas y accesorios para vehículos automotores y sus motores
D,,,34300,5,Fabricación de partes; piezas y accesorios para vehículos automotores y sus motores. Incluye rectificación de motores
D,,,35,2,Fabricación De Equipo De Transporte N.C.P.
D,,,351,3,Construcción y Reparación de buques y embarcaciones n.c.p.
D,,,3511,4,Construcción y Reparación de buques
D,,,35110,5,Construcción y Reparación de buques
D,,,3512,4,Construcción de embarcaciones de recreo y deporte
D,,,35120,5,Construcción de embarcaciones de recreo y deporte
D,,,352,3,Fabricación y Reparación de locomotoras y de material rodante para ferrocarriles y tranvías
D,,,3520,4,Fabricación y Reparación de locomotoras y de material rodante para ferrocarriles y tranvías
D,,,35200,5,Fabricación y Reparación de locomotoras y de material rodante para ferrocarriles y tranvías
D,,,353,3,Fabricación y Reparación de aeronaves
D,,,3530,4,Fabricación y Reparación de aeronaves
D,,,35300,5,Fabricación y Reparación de aeronaves
D,,,359,3,Fabricación de equipo de transporte n.c.p.
D,,,3591,4,Fabricación de motocicletas
D,,,35910,5,Fabricación de motocicletas
D,,,3599,4,Fabricación de equipo de transporte n.c.p.
D,,,35990,5,Fabricación de equipo de transporte n.c.p.
D,,,36,2,Fabricación De Muebles Y Colchones; Industrias Manufactureras N.C.P.
D,,,361,3,Fabricación de muebles y colchones
D,,,3610,4,Fabricación de muebles y colchones
D,,,36101,5,"Fabricación de muebles y partes de muebles, principalmente de madera"
D,,,36102,5,"Fabricación de muebles y partes de muebles, excepto los que son principalmente de madera"
D,,,36103,5,Fabricación de somieres y colchones
D,,,369,3,Industrias manufactureras n.c.p.
D,,,3691,4,Fabricación de joyas y artículos conexos
D,,,3692,4,Fabricación de instrumentos de música
D,,,3693,4,Fabricación de artículos de deporte
D,,,3694,4,Fabricación de juegos y juguetes
D,,,3699,4,Industrias manufactureras n.c.p.
D,,,36999,5,Industrias manufactureras n.c.p.
D,,,37,2,Reciclamiento
D,,,370,3,Reciclamiento
D,,,3700,4,Reciclamiento
D,,,37000,5,Reciclamiento
D,,,38,2,"Reparación, Mantenimiento E Instalación De Maquinas Y Equipos"
D,,,381,3,"Reparación y mantenimiento de instrumentos médicos, ópticos y de precisión; relojes excepto para uso personal o domestico"
D,,,3810,4,Reparación y mantenimiento de aparatos e instrumentos médicos
D,,,38100,5,Reparación y mantenimiento de aparatos e instrumentos médicos
D,,,382,3,Reparación y mantenimiento de maquinaria de oficina y de contabilidad e informática; maquinaria de uso general y especial
D,,,3821,4,Reparación y mantenimiento de maquinaria de oficina y de contabilidad e informática
D,,,38210,5,Reparación y mantenimiento de maquinaria de oficina y de contabilidad e informática
D,,,3822,4,Reparación y mantenimiento de maquinaria de uso general
D,,,38220,5,Reparación y mantenimiento de hornos; hogares y quemadores
D,,,3823,4,Reparación y mantenimiento de maquinaria de uso especial
D,,,38231,5,Reparación y mantenimiento de maquinaria agropecuaria
D,,,38239,5,Reparación y mantenimiento de maquinas herramienta
D,,,383,3,"Reparación y mantenimiento de equipos y aparatos de radio, televisión y comunicaciones excepto para uso personal o domestico"
D,,,3830,4,"Reparación y mantenimiento de tubos, válvulas y otros componentes electrónicos"
D,,,38300,5,"Reparación y mantenimiento de tubos, válvulas y otros componentes electrónicos"
D,,,385,3,Reparación y mantenimiento de maquinaria y aparatos eléctricos n.c.p.
D,,,3850,4,"Reparación y mantenimiento de motores, generadores y transformadores eléctricos"
D,,,38500,5,"Reparación y mantenimiento de motores, generadores y transformadores eléctricos"
D,,,386,3,"Reparación y mantenimiento de productos de metal, servicios de trabajo de metales, excepto maquinaria y equipo"
D,,,3860,4,"Reparación y mantenimiento de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor"
D,,,38600,5,"Reparación y mantenimiento de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor"
D,,,387,3,Instalación de maquinaria y equipos industriales
D,,,3870,4,Instalación de maquinaria y equipos industriales
D,,,38700,5,Instalación de maquinaria y equipos industriales
D,,,389,3,Reparación y mantenimiento n.c.p.
D,,,3890,4,Reparación y mantenimiento n.c.p.
D,,,38900,5,Reparación y mantenimiento n.c.p.
E,E,E,E,Letra,"ELECTRICIDAD, GAS Y AGUA"
E,40,40,40,2,"Electricidad, Gas, Vapor y Agua Caliente"
E,401,401,401,3,"Generación, transporte y distribución de energía eléctrica."
E,40111,40111,40111,5,Generación de energía térmica convencional.
E,40112,40112,40112,5,Generación de energía térmica nuclear.
E,40113,40113,40113,5,Generación de energía hidráulica.
E,40120,40120,40120,2,Transporte de energía eléctrica.
E,40130,40130,40130,4,Distribución de energía eléctrica.
E,402,402,402,3,Fabricación de gas y distribución de combustibles gaseosos por tuberías.
E,40200,40200,40200,5,Fabricación de gas y distribución de combustibles gaseosos por tuberías.
E,41,41,41,2,"Captación, Depuración y Distribución de Agua"
E,410,410,410,3,"Captación, depuración y distribución de agua."
F,F,F,F,Letra,CONSTRUCCION
F,45,45,45,2,Construcción
F,,1,45F1,3,Construcción privada
F,,1.1,45F11,4,Construcción registrada
F,,1.1.1,45F111,5,Residencial
F,,,45F1112,6,Univivienda
F,,,45F1113,6,Multivivienda
F,,,45F1114,6,Ampliaciones
F,,,45F1115,6,Viviendas construidas con financiamiento público
F,,1.1.2,45F112,5,No Residencial
F,,,45F1121,6,Industria
F,,,45F1122,6,"Adm, bcos, financieras"
F,,,45F1123,6,Comercio
F,,,45F1124,6,Almacenaje
F,,,45F1125,6,Educación
F,,,45F1126,6,Salud
F,,,45F1127,6,Transporte
F,,,45F1128,6,Hotelería y alojamiento
F,,,45F1129,6,Espectáculos
F,,,45F1130,6,Cultura
F,,,45F1131,6,Deportes y recreación
F,,,45F1132,6,Gastronomía
F,,,45F1133,6,Arquitectura funeraria
F,,,45F1134,6,Otras
F,,,45F1135,6,Ampliaciones
F,,1.2,45F12,4,Construcción no registrada
F,,1.2.1,45F121,5,Residencial no registrada
F,,1.2.2,45F122,5,Gasto en mejoras y reparaciones de vivienda
F,,1.2.3,45F123,5,No residencial no registrada 
F,,2,45F2,3,Construcción pública
F,,2.1,45F21,4,Administración Municipal
F,,2.2,45F22,4,Administración Provincial
F,,2.3,45F23,4,Administración Nacional
G,G,G,G,Letra,"COMERCIO AL POR MAYOR, AL POR MENOR, REPARACIÓN DE VEHÍCULOS AUTOMOTORES, MOTOCICLETAS, EFECTOS PERSONALES Y ENSERES DOMÉSTICOS"
G,,,50,2,"Venta, Mantenimiento y Reparación de Vehículos Automotores y Motocicletas; Venta al por Menor de Combustible para Vehículos Automotores"
G,,,501,3,"Venta de vehículos automotores, excepto motocicletas"
G,,,5010,4,"Venta de vehículos automotores, excepto motocicletas"
G,,,50100,5,"Venta de vehículos automotores, excepto motocicletas"
G,,,502,3,"Mantenimiento y Reparación de vehículos automotores, excepto motocicletas"
G,,,5020,4,"Mantenimiento y Reparación de vehículos automotores, excepto motocicletas"
G,,,50200,5,"Mantenimiento y Reparación de vehículos automotores, excepto motocicletas"
G,,,503,3,"Venta de partes, piezas y accesorios de vehículos automotores"
G,,,5031,4,"Venta al por mayor de partes, piezas y accesorios de vehículos automotores"
G,,,50310,5,"Venta al por mayor de partes, piezas y accesorios de vehículos automotores"
G,,,5032,4,"Venta al por menor de partes, piezas y accesorios de vehículos automotores"
G,,,50320,5,"Venta al por menor de partes, piezas y accesorios de vehículos automotores"
G,,,504,3,"Venta, mantenimiento y Reparación de motocicletas y de sus partes, piezas y accesorios"
G,,,5040,4,"Venta, mantenimiento y Reparación de motocicletas y de sus partes, piezas y accesorios"
G,,,50401,5,"Venta de motocicletas y de sus partes, piezas y accesorios"
G,,,50402,5,Mantenimiento y Reparación de motocicletas
G,,,505,3,Venta al por menor de combustible para vehículos automotores y motocicletas
G,,,5050,4,Venta al por menor de combustible para vehículos automotores y motocicletas
G,,,50500,5,Venta al por menor de combustible para vehículos automotores y motocicletas
G,,,51,2,"Comercio al por Mayor y/o en Comisión o Consignación, Excepto el Comercio de Vehículos Automotores y Motocicletas"
G,,,511,3,Venta al por mayor en comisión o consignación
G,,,5111,4,Venta al por mayor en comisión o consignación de productos agrícolas y pecuarios
G,,,51111,5,Venta al por mayor en comisión o consignación de productos agrícolas
G,,,51112,5,Venta al por mayor en comisión o consignación de productos pecuarios
G,,,5119,4,Venta al por mayor en comisión o consignación de mercancías n.c.p.
G,,,51190,5,Venta al por mayor en comisión o consignación de mercancías n.c.p.
G,,,512,3,"Venta al por mayor de materias primas agropecuarias, de animales vivos, alimentos, bebidas y tabaco, excepto en comisión o consignación"
G,,,5121,4,Venta al por mayor de materias primas agropecuarias y de animales vivos
G,,,51210,5,Venta al por mayor de materias primas agropecuarias y pecuarias incluso de animales vivos
G,,,5122,4,Venta al por mayor de alimentos
G,,,51221,5,"Venta al por mayor de fiambres, quesos y productos lácteos"
G,,,51222,5,"Venta al por mayor de carnes rojas, menudencias y chacinados frescos; productos de granja y de la caza"
G,,,51223,5,Venta al por mayor de pescado
G,,,51224,5,"Venta al por mayor y empaque de frutas, de legumbres y hortalizas frescas"
G,,,51225,5,"Venta al por mayor de pan, productos de confitería y pastas frescas; Venta al por mayor de aceites, azúcar, café, te, yerba mate y otras infusiones y especias y condimentos"
G,,,51226,5,"Venta al por mayor de chocolates, golosinas y productos para kioscos y polirrubros n.c.p., excepto cigarrillos"
G,,,51227,5,Venta al por mayor de alimentos balanceados para animales
G,,,51228,5,Venta al por mayor en supermercados mayoristas de alimentos
G,,,51229,5,Venta al por mayor de productos alimenticios n.c.p.
G,,,5123,4,Venta al por mayor de bebidas
G,,,51230,5,Venta al por mayor de bebidas
G,,,5124,4,Venta al por mayor de cigarrillos y productos de tabaco
G,,,51240,5,Venta al por mayor de cigarrillos y productos de tabaco
G,,,513,3,Venta al por mayor de artículos de uso domestico y/o personal
G,,,5131,4,"Venta al por mayor de productos textiles, prendas de vestir, calzado excepto el ortopédico, cueros, pieles, artículos de marroquinería,  paraguas y similares"
G,,,51311,5,Venta al por mayor de productos textiles excepto prendas y accesorios de vestir
G,,,51312,5,Venta al por mayor de prendas y accesorios de vestir
G,,,51313,5,Venta al por mayor de calzado excepto el ortopédico
G,,,51314,5,"Venta al por mayor de artículos de cueros, pieles, marroquinería y talabartería,  paraguas y similares"
G,,,51315,5,"Venta al por mayor de uniformes, ropa de trabajo e indumentaria de seguridad"
G,,,5132,4,"Venta al por mayor de libros, revistas, diarios, papel, cartón, materiales de embalaje y artículos de librería"
G,,,51321,5,"Venta al por mayor de libros, revistas y diarios"
G,,,51322,5,"Venta al por mayor de papel, cartón, materiales de embalaje y artículos de librería"
G,,,5133,4,"Venta al por mayor de productos farmacéuticos, veterinarios, cosméticos y de perfumería, instrumental medico y odontológico y artículos ortopédicos"
G,,,51331,5,Venta al por mayor de productos farmacéuticos
G,,,51332,5,"Venta al por mayor de productos cosméticos, de tocador y de perfumería"
G,,,51333,5,Venta al por mayor de instrumental medico y odontológico y artículos ortopédicos
G,,,51334,5,Venta al por mayor de productos veterinarios
G,,,5134,4,"Venta al por mayor de artículos de óptica, fotografía, relojería, joyería y fantasías"
G,,,51341,5,Venta al por mayor de artículos de óptica y de fotografía
G,,,51342,5,"Venta al por mayor de artículos de relojería, joyería y fantasías"
G,,,5135,4,"Venta al por mayor de muebles, artículos de iluminación y  demás artefactos para el hogar"
G,,,51350,5,"Venta al por mayor de muebles, artículos de iluminación y  demás artefactos para el hogar"
G,,,5139,4,Venta al por mayor de artículos de uso domestico y/o personal n.c.p.
G,,,51390,5,Venta al por mayor de artículos de uso domestico y/o personal n.c.p.
G,,,514,3,"Venta al por mayor de productos intermedios, desperdicios y desechos no agropecuarios"
G,,,5141,4,"Venta al por mayor de combustibles, incluso gaseosos y productos conexos"
G,,,51411,5,Venta al por mayor de combustibles y lubricantes para automotores
G,,,51419,5,"Venta al por mayor de combustibles y lubricantes -excepto para automotores-, gas en garrafas, leña y carbón"
G,,,5142,4,Venta al por mayor de metales y minerales metalíferos
G,,,51420,5,Venta al por mayor de metales y minerales metalíferos
G,,,5143,4,"Venta al por mayor de madera,  materiales de Construcción, artículos de ferretería y materiales para plomería e instalaciones de  gas"
G,,,51430,5,"Venta al por mayor de madera,  materiales de Construcción, artículos de ferretería y materiales para plomería e instalaciones de  gas"
G,,,5149,4,"Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos"
G,,,51492,5,"Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos de papel y cartón"
G,,,51493,5,"Venta al por mayor de productos intermedios, desperdicios y desechos de vidrio,  de plástico, de caucho y goma, y químicos"
G,,,51494,5,"Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos metálicos"
G,,,51495,5,"Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos de componentes eléctricos"
G,,,51499,5,"Venta al por mayor de productos intermedios, desperdicios y desechos n.c.p."
G,,,515,3,"Venta al por mayor de maquinas, equipo y materiales conexos"
G,,,5151,4,"Venta al por mayor de maquinas, equipos e implementos de uso especial"
G,,,51511,5,"Venta al por mayor de maquinas, equipos e implementos de uso en los sectores agropecuario, jardinería, silvicultura, pesca y caza"
G,,,51512,5,"Venta al por mayor de maquinas, equipos e implementos de uso en la elaboración de alimentos, bebidas y tabaco"
G,,,51513,5,"Venta al por mayor de maquinas, equipos e implementos de uso en la Fabricación de textiles, prendas y accesorios de vestir, calzado, artículos de cuero y marroquinería"
G,,,51514,5,"Venta al por mayor de maquinas, equipos e implementos de uso en imprentas, artes graficas y actividades conexas"
G,,,51515,5,"Venta al por mayor de maquinas, equipos e implementos de uso medico y paramédico"
G,,,51519,5,"Venta al por mayor de maquinas, equipos e implementos de uso especial n.c.p."
G,,,5152,4,Venta al por mayor de maquinas-herramienta de uso general
G,,,51520,5,Venta al por mayor de maquinas-herramienta de uso general
G,,,5154,4,"Venta al por mayor de muebles e instalaciones para la industria, el comercio y los servicios"
G,,,51540,5,"Venta al por mayor de muebles e instalaciones para la industria, el comercio y los servicios"
G,,,5159,4,"Venta al por mayor de maquinas, equipo y materiales conexos n.c.p."
G,,,51592,5,"Venta al por mayor de equipos informáticos y maquinas electrónicas de escribir y calcular ;Venta al por mayor de maquinas y equipos de comunicaciones, control y seguridad"
G,,,51599,5,"Venta al por mayor de maquinas, equipo y materiales conexos n.c.p."
G,,,519,3,Venta al por mayor de mercancías n.c.p.
G,,,5190,4,Venta al por mayor de mercancías n.c.p.
G,,,51901,5,Venta al por mayor de insumos agropecuarios diversos
G,,,51909,5,Venta al por mayor de mercancías n.c.p.
G,,,52,2,"Comercio al por Menor, Excepto el Comercio de Vehículos Automotores y Motocicletas; Reparación de Efectos Personales y Enseres Domésticos"
G,,,521,3,Venta al por menor excepto la especializada
G,,,5211,4,Venta al por menor en comercios no especializados con predominio de productos alimenticios y bebidas
G,,,52112,5,Venta al por menor en supermercados con predominio productos de alimenticios y bebidas
G,,,52119,5,"Venta al por menor en kioscos, polirrubros y comercios no especializados n.c.p."
G,,,52120,5,"Venta al por menor excepto la especializada, sin predominio de productos alimenticios y bebidas"
G,,,522,3,"Venta al por menor de productos alimenticios, bebidas y tabaco en comercios especializados"
G,,,5221,4,"Venta al por menor de productos de almacén, fiambrera y dietética"
G,,,52211,5,"Venta al por menor principalmente de fiambres, quesos y productos lácteos"
G,,,52212,5,Venta al por menor de productos de almacén y dietética
G,,,5222,4,Venta al por menor de carnes rojas y productos de granja y de la caza
G,,,52221,5,"Venta al por menor de carnes rojas, menudencias y chacinados frescos"
G,,,52222,5,"Venta al por menor de huevos, carne de aves y  productos de granja y de la caza n.c.p."
G,,,5223,4,"Venta al por menor de frutas, legumbres y hortalizas frescas"
G,,,52230,5,"Venta al por menor de frutas, legumbres y hortalizas frescas"
G,,,5224,4,Venta al por menor de pan y productos de panadería y confitería
G,,,52240,5,Venta al por menor de pan y productos de panadería y confitería
G,,,5225,4,Venta al por menor de bebidas
G,,,52250,5,Venta al por menor de bebidas
G,,,5229,4,"Venta al por menor de productos  alimenticios n.c.p. y tabaco, en comercios especializados"
G,,,52291,5,Venta al por menor de pescados y productos de la pesca
G,,,52299,5,"Venta al por menor de productos alimenticios n.c.p. y tabaco, en comercios especializados"
G,,,523,3,"Venta al por menor de productos n.c.p. excepto los usados, en comercios especializados"
G,,,5231,4,"Venta al por menor de productos farmacéuticos, cosméticos, de perfumería, instrumental medico y odontológico y artículos ortopédicos"
G,,,52311,5,Venta al por menor de productos farmacéuticos y de herboristería
G,,,52312,5,"Venta al por menor de productos cosméticos, de tocador y de perfumería"
G,,,52313,5,Venta al por menor de instrumental medico y odontológico y artículos ortopédicos
G,,,5232,4,"Venta al por menor de productos textiles, excepto prendas de vestir"
G,,,52321,5,"Venta al por menor de hilados, tejidos y artículos de mercería"
G,,,52322,5,Venta al por menor de confecciones para el hogar
G,,,52329,5,Venta al por menor de artículos textiles n.c.p. excepto prendas de vestir
G,,,5233,4,"Venta al por menor de prendas y accesorios de vestir excepto calzado, artículos de marroquinería, paraguas y similares"
G,,,52330,5,"Venta al por menor de prendas y accesorios de vestir excepto calzado, artículos de marroquinería, paraguas y similares"
G,,,5234,4,"Venta al por menor de calzado excepto el ortopédico, artículos de marroquinería, paraguas y similares"
G,,,52341,5,Venta al por menor de artículos de talabartería
G,,,52342,5,Venta al por menor de calzado excepto el ortopédico
G,,,52343,5,Venta al por menor de calzado deportivo
G,,,52349,5,"Venta al por menor de artículos de marroquinería, paraguas y similares n.c.p."
G,,,5235,4,"Venta al  por menor de muebles, artículos de mimbre y corcho, colchones y somieres, artículos de  iluminación y artefactos para el hogar"
G,,,52351,5,"Venta al por menor de muebles excepto para la oficina, la industria, el comercio y los servicios; artículos de mimbre y corcho"
G,,,52352,5,Venta al por menor de colchones y somieres
G,,,52353,5,Venta al por menor de artículos de iluminación
G,,,52354,5,Venta al por menor de artículos de bazar y menaje
G,,,52355,5,"Venta al por menor de artefactos  para el hogar, eléctricos, a gas, a kerosén u otros combustibles"
G,,,52356,5,"Venta al por menor de instrumentos musicales, equipos de sonido, casetes de audio y video, discos de audio y video"
G,,,52357,5,Venta al por menor de aparatos de telefonía y comunicación de uso personal
G,,,52359,5,Venta al por menor de artículos para el hogar n.c.p.
G,,,5236,4,"Venta al por menor de materiales de Construcción, artículos de ferretería, pinturas, cristales y espejos, y artículos para la decoración"
G,,,52361,5,Venta al por menor de aberturas
G,,,52362,5,Venta al por menor de maderas y artículos de madera  y corcho excepto muebles
G,,,52363,5,Venta al por menor de artículos de ferretería y materiales eléctricos
G,,,52364,5,Venta al por menor de pinturas y productos conexos
G,,,52365,5,Venta al por menor de artículos para plomería e instalación de gas
G,,,52366,5,"Venta al por menor de cristales, espejos, mamparas y cerramientos"
G,,,52367,5,"Venta al por menor de papeles para pared, revestimientos para pisos y artículos similares para la decoración: casas de decoración"
G,,,52369,5,Venta al por menor de materiales de Construcción n.c.p.
G,,,5237,4,"Venta al por menor de artículos de óptica, fotografía, relojería, joyería y fantasía"
G,,,52371,5,Venta al por menor de artículos de óptica y fotografía
G,,,52372,5,Venta al por menor de artículos de relojería y joyería
G,,,52373,5,Venta al por menor de bijouterie y fantasía
G,,,5238,4,"Venta al por menor de libros, revistas, diarios, papel, cartón, materiales de embalaje y artículos de librería"
G,,,52381,5,Venta al por menor de libros y publicaciones
G,,,52382,5,Venta al por menor de diarios y revistas
G,,,52383,5,"Venta al por menor de papel, cartón, materiales de embalaje y artículos de librería"
G,,,5239,4,Venta al por menor en comercios especializados n.c.p.
G,,,52391,5,"Venta al por menor de flores, plantas, semillas, abonos, fertilizantes y otros productos de vivero"
G,,,52392,5,Venta al por menor de materiales y productos de limpieza
G,,,52393,5,Venta al por menor de juguetes; artículos de cotillon y juegos de mesa
G,,,52394,5,Venta al por menor de artículos de deportes y esparcimiento
G,,,52395,5,Venta al por menor de maquinas y equipos para oficina y sus componentes y repuestos de uso personal o domestico
G,,,52396,5,"Venta al por menor de fuel oil, gas en garrafas, carbón y leña"
G,,,52397,5,"Venta al por menor de productos veterinarios, animales domésticos y alimento balanceado para mascota"
G,,,52399,5,Venta al por menor de artículos nuevos n.c.p.
G,,,524,3,Venta al por menor de artículos usados excluidos automotores y motocicletas
G,,,5240,4,Venta al por menor de artículos usados excluidos automotores y motocicletas
G,,,52400,5,Venta al por menor de artículos usados excluidos automotores y motocicletas
G,,,525,3,Venta al por menor no realizada en establecimientos
G,,,5259,4,Venta al por menor no realizada en establecimientos  n.c.p.
G,,,52590,5,Venta al por menor no realizada en establecimientos  n.c.p.
G,,,526,3,Reparación de efectos personales y enseres domésticos
G,,,5260,4,Reparación de efectos personales y enseres domésticos
G,,,52600,5,Reparación de efectos personales y enseres domésticos
H,H,H,H,Letra,SERVICIOS DE HOTELERIA Y RESTAURANTES
H,,,55,2,Servicios de Hoteleria y Restaurantes
H,,,551,3,"Servicios de alojamiento en hoteles, campamentos y otros tipos de hospedaje temporal"
H,,,5511,4,Servicios de alojamiento en camping
H,,,55110,5,Servicios de alojamiento en camping
H,,,5512,4,Servicios de alojamiento excepto en camping
H,,,55121,5,Servicios de alojamiento por hora
H,,,55122,5,"Servicios de alojamiento en hoteles, pensiones y otras residencias de alojamiento temporal, excepto por  hora"
H,,,552,3,Servicios de expendio de comidas y bebidas
H,,,5521,4,"Servicios de expendio de comidas y bebidas en restaurantes, bares y otros establecimientos con servicio de mesa y/o en mostrador"
H,,,55211,5,"Servicios de expendio de comidas y bebidas en restaurantes, bares y otros establecimientos con servicio de mesa y/o en mostrador excepto en heladerías"
H,,,55212,5,Servicios de expendio de helados
H,,,5522,4,Preparación y venta de comidas para llevar
H,,,55221,5,Provisión de comidas preparadas para empresas
H,,,55229,5,Preparación y venta de comidas para llevar n.c.p.
I,I,,I,Letra,"SERVICIO DE TRANSPORTE, DE ALMACENAMIENTO Y DE COMUNICACIONES"
I,60,,60,2,Servicio de Transporte Terrestre
I,601,,601,3,Servicio de transporte ferroviario.
I,601.1,,601.1,5,Servicio de transporte ferroviario de cargas.
I,601.10,,601.10,5,Servicio de transporte ferroviario de cargas.
I,601.2,,601.2,5,Servicio de transporte ferroviario de pasajeros.
I,601.21,,601.21,3,Servicio de transporte ferroviario urbano y suburbano de pasajeros.
I,601.22,,601.22,4,Servicio de transporte ferroviario interurbano de pasajeros.
I,602,,602,5,Servicio de transporte automotor.
I,602.1,,602.1,5,Servicio de transporte automotor de cargas.
I,602.11,,602.11,5,Servicios de mudanza.
I,602.12,,602.12,5,"Servicios de transporte de mercaderías a granel, incluido el transporte por camión cisterna."
I,602.13,,602.13,3,Servicios de transporte de animales.
I,602.18,,602.18,2,Servicio de transporte urbano de carga n.c.p.
I,602.19,,602.19,2,Servicio de transporte automotor de cargas n.c.p.
I,602.2,,602.2,2,Servicio de transporte automotor de pasajeros.
I,602.21,,602.21,3,Servicio de transporte automotor urbano regular de pasajeros.
I,602.22,,602.22,3,Servicio de transporte automotor  de pasajeros mediante taxis y remises; alquiler de autos con chofer.
I,602.23,,602.23,3,Servicio de transporte escolar.
I,602.24,,602.24,3,"Servicio de transporte automotor urbano de oferta libre de pasajeros excepto mediante taxis y remises, alquiler de autos con chofer y  transporte escolar."
I,602.25,,602.25,3,Servicio de transporte automotor interurbano de pasajeros.
I,602.26,,602.26,2,Servicio de transporte automotor de pasajeros para el turismo.
I,602.27,,602.27,3,Servicio de transporte automotor internacional de pasajeros.
I,602.29,,602.29,5,Servicio de transporte automotor de pasajeros n.c.p.
I,603,,603,3,Servicio de transporte por tuberías.
I,603.1,,603.1,4,Servicio de transporte por oleoductos; poliductos y fueloductos.
I,603.11,,603.11,5,Servicio de transporte por oleoductos.
I,603.12,,603.12,5,Servicio de transporte por poliductos y fueloductos.
I,603.2,,603.2,4,Servicio de transporte por gasoductos.
I,603.20,,603.20,5,Servicio de transporte por gasoductos.
I,61,,61,2,Servicio de Transporte por Vía Acuática
I,611,,611,3,Servicio de transporte marítimo.
I,611.1,,611.1,4,Servicio de transporte marítimo de carga.
I,611.10,,611.10,5,Servicio de transporte marítimo de carga.
I,611.2,,611.2,4,Servicio de transporte marítimo de pasajeros.
I,611.20,,611.20,5,Servicio de transporte marítimo de pasajeros.
I,612,,612,3,Servicio de transporte fluvial.
I,612.1,,612.1,4,Servicio de transporte fluvial de cargas.
I,612.10,,612.10,5,Servicio de transporte fluvial de cargas.
I,612.2,,612.2,4,Servicio de transporte fluvial de pasajeros.
I,612.20,,612.20,5,Servicio de transporte fluvial de pasajeros.
I,62,,62,2,Servicio de Transporte Aéreo
I,62.1,,62.1,3,Servicio de transporte aéreo de cargas.
I,62.10,,62.10,4,Servicio de transporte aéreo de cargas.
I,62100,,62100,5,Servicio de transporte aéreo de cargas.
I,62.2,,62.2,3,Servicio de transporte aéreo de pasajeros.
I,62.20,,62.20,4,Servicio de transporte aéreo de pasajeros.
I,62200,,62200,5,Servicio de transporte aéreo de pasajeros.
I,63,,63,2,Servicios Anexos al Transporte; Servicios de Agencias de Viaje
I,63.1,,63.1,3,Servicios de manipulación de carga.
I,63.10,,63.10,4,Servicios de manipulación de carga.
I,63101,,63101,5,Servicios de manipulación de carga en el ámbito terrestre.
I,63102,,63102,5,Servicios de manipulación de carga en el ámbito portuario.
I,63103,,63103,5,Servicios de manipulación de carga en el ámbito aéreo.
I,63.2,,63.2,3,Servicios de almacenamiento y depósito.
I,63.20,,63.20,4,Servicios de almacenamiento y depósito.
I,63201,,63201,5,Servicios de almacenamiento y depósito en silos.
I,63202,,63202,5,Servicios de almacenamiento y depósito en cámaras frigoríficas.
I,63209,,63209,5,Servicios de almacenamiento y depósito n.c.p.
I,63.3,,63.3,3,Servicios complementarios para el transporte.
I,63.31,,63.31,4,Servicios complementarios para el transporte terrestre
